epoch,phase,loss,accuracy
   Anxious,train,acc,0.9230
   Excitement,train,acc,0.9217
   Sadness,train,acc,0.4056

39,val,0.1300,0.7402
   Angry,val,acc,0.9753
   Anxious,val,acc,0.9884
   Excitement,val,acc,0.9971
   Sadness,val,acc,0.0000

40,train,0.2155,0.6719
   Angry,train,acc,0.4161
   Anxious,train,acc,0.9248
   Excitement,train,acc,0.8863
   Sadness,train,acc,0.4602

40,val,0.1488,0.7337
   Angry,val,acc,0.9492
   Anxious,val,acc,0.9985
   Excitement,val,acc,0.9869
   Sadness,val,acc,0.0000

41,train,0.2327,0.6613
   Angry,train,acc,0.4280
   Anxious,train,acc,0.9149
   Excitement,train,acc,0.8969
   Sadness,train,acc,0.4056

41,val,0.1324,0.7351
   Angry,val,acc,0.0000
   Anxious,val,acc,0.9840
   Excitement,val,acc,0.9840
   Sadness,val,acc,0.9724

42,train,0.2119,0.6739
   Angry,train,acc,0.4559
   Anxious,train,acc,0.9360
   Excitement,train,acc,0.8944
   Sadness,train,acc,0.4093

42,val,0.1222,0.7348
   Angry,val,acc,0.9521
   Anxious,val,acc,0.9942
   Excitement,val,acc,0.9927
   Sadness,val,acc,0.0000

43,train,0.2136,0.6651
   Angry,train,acc,0.4373
   Anxious,train,acc,0.9348
   Excitement,train,acc,0.8882
   Sadness,train,acc,0.4000

43,val,0.1244,0.7529
   Angry,val,acc,0.2279
   Anxious,val,acc,0.9811
   Excitement,val,acc,1.0000
   Sadness,val,acc,0.8026

44,train,0.2183,0.6579
   Angry,train,acc,0.3963
   Anxious,train,acc,0.9236
   Excitement,train,acc,0.9043
   Sadness,train,acc,0.4075

44,val,0.0964,0.7489
   Angry,val,acc,0.0189
   Anxious,val,acc,0.9971
   Excitement,val,acc,1.0000
   Sadness,val,acc,0.9797

45,train,0.1988,0.6868
   Angry,train,acc,0.4540
   Anxious,train,acc,0.9429
   Excitement,train,acc,0.9174
   Sadness,train,acc,0.4329

45,val,0.0997,0.7453
   Angry,val,acc,0.9971
   Anxious,val,acc,0.9898
   Excitement,val,acc,0.9942
   Sadness,val,acc,0.0000

46,train,0.1971,0.6770
   Angry,train,acc,0.4540
   Anxious,train,acc,0.9410
   Excitement,train,acc,0.9056
   Sadness,train,acc,0.4075

46,val,0.2577,0.6865
   Angry,val,acc,0.7562
   Anxious,val,acc,0.9971
   Excitement,val,acc,0.9927
   Sadness,val,acc,0.0000

47,train,0.2283,0.6665
   Angry,train,acc,0.4559
   Anxious,train,acc,0.9205
   Excitement,train,acc,0.8944
   Sadness,train,acc,0.3950

47,val,0.1227,0.7329
   Angry,val,acc,0.9681
   Anxious,val,acc,0.9695
   Excitement,val,acc,0.9710
   Sadness,val,acc,0.0232

48,train,0.2048,0.6806
   Angry,train,acc,0.4081
   Anxious,train,acc,0.9242
   Excitement,train,acc,0.9280
   Sadness,train,acc,0.4621

48,val,0.2749,0.6702
   Angry,val,acc,0.6357
   Anxious,val,acc,0.9985
   Excitement,val,acc,0.9971
   Sadness,val,acc,0.0493

49,train,0.2063,0.6818
   Angry,train,acc,0.4497
   Anxious,train,acc,0.9174
   Excitement,train,acc,0.9280
   Sadness,train,acc,0.4323

49,val,0.1188,0.7674
   Angry,val,acc,0.1771
   Anxious,val,acc,0.9869
   Excitement,val,acc,0.9840
   Sadness,val,acc,0.9216

50,train,0.2033,0.6756
   Angry,train,acc,0.4211
   Anxious,train,acc,0.9298
   Excitement,train,acc,0.9236
   Sadness,train,acc,0.4280

50,val,0.2613,0.6981
   Angry,val,acc,0.7460
   Anxious,val,acc,0.9985
   Excitement,val,acc,0.9869
   Sadness,val,acc,0.0610

51,train,0.2000,0.6870
   Angry,train,acc,0.4416
   Anxious,train,acc,0.9373
   Excitement,train,acc,0.9056
   Sadness,train,acc,0.4634

51,val,0.2740,0.6967
   Angry,val,acc,0.8055
   Anxious,val,acc,0.9840
   Excitement,val,acc,0.9971
   Sadness,val,acc,0.0000

52,train,0.2015,0.6840
   Angry,train,acc,0.4596
   Anxious,train,acc,0.9286
   Excitement,train,acc,0.9130
   Sadness,train,acc,0.4348

52,val,0.1107,0.7398
   Angry,val,acc,0.7939
   Anxious,val,acc,0.9869
   Excitement,val,acc,0.9869
   Sadness,val,acc,0.1916

53,train,0.1895,0.6913
   Angry,train,acc,0.4733
   Anxious,train,acc,0.9261
   Excitement,train,acc,0.9329
   Sadness,train,acc,0.4329

53,val,0.1429,0.7268
   Angry,val,acc,0.0000
   Anxious,val,acc,0.9303
   Excitement,val,acc,0.9956
   Sadness,val,acc,0.9811

54,train,0.1846,0.6876
   Angry,train,acc,0.4385
   Anxious,train,acc,0.9398
   Excitement,train,acc,0.9217
   Sadness,train,acc,0.4503

54,val,0.1267,0.7351
   Angry,val,acc,0.0000
   Anxious,val,acc,0.9739
   Excitement,val,acc,0.9797
   Sadness,val,acc,0.9869

55,train,0.1933,0.6882
   Angry,train,acc,0.3969
   Anxious,train,acc,0.9280
   Excitement,train,acc,0.9224
   Sadness,train,acc,0.5056

55,val,0.1099,0.7442
   Angry,val,acc,0.0029
   Anxious,val,acc,0.9869
   Excitement,val,acc,0.9971
   Sadness,val,acc,0.9898

